"Target","FileName","FullPath","Status","Message","HeroImage"
"DetailPage","Beau-Lief-Chapel.html","D:\github\ron-english-paintings-2020s\detail\paintings\2020s\2026\Beau-Lief-Chapel.html","READY","Would add bulletless CSS.",""
"DetailPage","Big-Duck.html","D:\github\ron-english-paintings-2020s\detail\paintings\2020s\2026\Big-Duck.html","READY","Would add bulletless CSS.",""
"DetailPage","Dog-Face-Shell.html","D:\github\ron-english-paintings-2020s\detail\paintings\2020s\2026\Dog-Face-Shell.html","READY","Would add bulletless CSS.",""
"DetailPage","Duck-Mermaid.html","D:\github\ron-english-paintings-2020s\detail\paintings\2020s\2026\Duck-Mermaid.html","READY","Would add bulletless CSS.",""
"DetailPage","dum.html","D:\github\ron-english-paintings-2020s\detail\paintings\2020s\2026\dum.html","ERROR","Could not find </style> or </head> insertion point.",""
"DetailPage","Elefanka-on-her-High-Horse.html","D:\github\ron-english-paintings-2020s\detail\paintings\2020s\2026\Elefanka-on-her-High-Horse.html","READY","Would add bulletless CSS.",""
"DetailPage","Eyeball-DNA-Dock.html","D:\github\ron-english-paintings-2020s\detail\paintings\2020s\2026\Eyeball-DNA-Dock.html","READY","Would add bulletless CSS.",""
"DetailPage","Fairy-Snail.html","D:\github\ron-english-paintings-2020s\detail\paintings\2020s\2026\Fairy-Snail.html","READY","Would add bulletless CSS.",""
"DetailPage","Flower-Girl-Profile.html","D:\github\ron-english-paintings-2020s\detail\paintings\2020s\2026\Flower-Girl-Profile.html","READY","Would add bulletless CSS.",""
"DetailPage","Flower-Mermaid.html","D:\github\ron-english-paintings-2020s\detail\paintings\2020s\2026\Flower-Mermaid.html","READY","Would add bulletless CSS.",""
"DetailPage","Graff-Mousemask.html","D:\github\ron-english-paintings-2020s\detail\paintings\2020s\2026\Graff-Mousemask.html","READY","Would add bulletless CSS.",""
"DetailPage","Gridiron-Grab.html","D:\github\ron-english-paintings-2020s\detail\paintings\2020s\2026\Gridiron-Grab.html","READY","Would add bulletless CSS.",""
"DetailPage","Kaiju-Clown.html","D:\github\ron-english-paintings-2020s\detail\paintings\2020s\2026\Kaiju-Clown.html","READY","Would add bulletless CSS.",""
"DetailPage","Lil-Bigfoot.html","D:\github\ron-english-paintings-2020s\detail\paintings\2020s\2026\Lil-Bigfoot.html","READY","Would add bulletless CSS.",""
"DetailPage","MC-Snowglobe.html","D:\github\ron-english-paintings-2020s\detail\paintings\2020s\2026\MC-Snowglobe.html","READY","Would add bulletless CSS.",""
"DetailPage","Paws-Profile.html","D:\github\ron-english-paintings-2020s\detail\paintings\2020s\2026\Paws-Profile.html","READY","Would add bulletless CSS.",""
"DetailPage","Rabbbit-Flower.html","D:\github\ron-english-paintings-2020s\detail\paintings\2020s\2026\Rabbbit-Flower.html","READY","Would add bulletless CSS.",""
"DetailPage","Santa-Flower.html","D:\github\ron-english-paintings-2020s\detail\paintings\2020s\2026\Santa-Flower.html","READY","Would add bulletless CSS.",""
"DetailPage","Slo-Moe-Evolution.html","D:\github\ron-english-paintings-2020s\detail\paintings\2020s\2026\Slo-Moe-Evolution.html","READY","Would add bulletless CSS.",""
"DetailPage","Temper-Tot.html","D:\github\ron-english-paintings-2020s\detail\paintings\2020s\2026\Temper-Tot.html","READY","Would add bulletless CSS.",""
"DetailPage","The-Ugliest-Man-in-the-Universe.html","D:\github\ron-english-paintings-2020s\detail\paintings\2020s\2026\The-Ugliest-Man-in-the-Universe.html","READY","Would add bulletless CSS.",""
"DetailPage","Uncle-Scam.html","D:\github\ron-english-paintings-2020s\detail\paintings\2020s\2026\Uncle-Scam.html","READY","Would add bulletless CSS.",""
"DetailPage","Weed-Seed.html","D:\github\ron-english-paintings-2020s\detail\paintings\2020s\2026\Weed-Seed.html","READY","Would add bulletless CSS.",""
"DecadeOverview","2020s.html","D:\github\ron-english-paintings-2020s\paintings\2020s.html","READY","Would add or refresh 2026 card.","beau lief chapel drawing 14 x 17 rough sketch.jpg"
